Trade mark office,Trade mark status,Registration date,Last office data update,
EM,Registered,18-04-2026,EUIPO - 17.06.2026,
EM,Registered,23-05-2026,EUIPO - 17.06.2026,
EM,Registered,08-05-2026,EUIPO - 17.06.2026,
EM,Registered,22-04-2026,EUIPO - 17.06.2026,
EM,Registered,13-03-2026,EUIPO - 17.06.2026,
EM,Registered,07-03-2026,EUIPO - 17.06.2026,
EM,Registered,22-03-2026,EUIPO - 17.06.2026,
EM,Registered,12-12-2025,EUIPO - 17.06.2026,
EM,Registered,15-02-2026,EUIPO - 17.06.2026,
EM,Registered,21-02-2026,EUIPO - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
,,,,
CA,Filed,,Canada - 11.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
AU,Filed,,Australia - 17.06.2026,
AU,Filed,,Australia - 17.06.2026,
WO,Registered,23-12-2025,WIPO - 17.06.2026,
WO,Registered,16-10-2025,WIPO - 17.06.2026,
GB,Registered,06-03-2026,United Kingdom - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
GB,Registered,30-01-2026,United Kingdom - 17.06.2026,
GB,Filed,,United Kingdom - 17.06.2026,
WO,Filed,,WIPO - 17.06.2026,
US,Filed,,United States - 17.06.2026,
GB,Registered,12-12-2025,United Kingdom - 17.06.2026,
US,Filed,,United States - 17.06.2026,
GB,Registered,24-10-2025,United Kingdom - 17.06.2026,
US,Filed,,United States - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
WO,Filed,,WIPO - 17.06.2026,
GB,Filed,,United Kingdom - 17.06.2026,
US,Filed,,United States - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
WO,Registered,27-07-2025,WIPO - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
GB,Filed,,United Kingdom - 17.06.2026,
US,Filed,,United States - 17.06.2026,
NZ,Registered,20-03-2026,New Zealand - 17.06.2026,
WO,Registered,11-02-2026,WIPO - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
GB,Registered,24-04-2026,United Kingdom - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
WO,Registered,16-03-2026,WIPO - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
CA,Filed,,Canada - 11.06.2026,
GB,Registered,17-10-2025,United Kingdom - 17.06.2026,
NZ,Filed,,New Zealand - 17.06.2026,
GB,Registered,06-02-2026,United Kingdom - 17.06.2026,
GB,Registered,06-02-2026,United Kingdom - 17.06.2026,
GB,Registered,20-02-2026,United Kingdom - 17.06.2026,
WO,Registered,30-01-2026,WIPO - 17.06.2026,
WO,Registered,30-01-2026,WIPO - 17.06.2026,
WO,Registered,17-09-2025,WIPO - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,13-09-2025,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
WO,Registered,30-12-2025,WIPO - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
CA,Filed,,Canada - 11.06.2026,
WO,Registered,02-09-2025,WIPO - 17.06.2026,
GB,Filed,,United Kingdom - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
GB,Registered,12-06-2026,United Kingdom - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
AU,Filed,,Australia - 17.06.2026,
WO,Registered,16-09-2025,WIPO - 17.06.2026,
WO,Registered,24-02-2026,WIPO - 17.06.2026,
WO,Registered,30-01-2026,WIPO - 17.06.2026,
WO,Registered,16-12-2025,WIPO - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,10-04-2025,United States - 17.06.2026,
GB,Registered,31-10-2025,United Kingdom - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
GB,Registered,23-01-2026,United Kingdom - 17.06.2026,
GB,Registered,06-02-2026,United Kingdom - 17.06.2026,
WO,Registered,30-01-2026,WIPO - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,20-11-2025,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
WO,Registered,30-01-2026,WIPO - 17.06.2026,
WO,Registered,19-12-2025,WIPO - 17.06.2026,
AT,Registered,04-11-2025,Austria - 17.06.2026,
GB,Registered,26-09-2025,United Kingdom - 17.06.2026,
GB,Registered,29-05-2026,United Kingdom - 17.06.2026,
